"country","variable","Unit","Date","Value"
"Turkey","Total international arrivals","","1/1/2006 12:00:00 AM",23924
"Turkey","Total international arrivals","","1/1/2007 12:00:00 AM",27240
"Turkey","Total international arrivals","","1/1/2008 12:00:00 AM",31138
"Turkey","Total international arrivals","","1/1/2009 12:00:00 AM",31760
"Turkey","Total international arrivals","","1/1/2010 12:00:00 AM",32997
"Turkey","Total international arrivals","","1/1/2011 12:00:00 AM",36769
"Turkey","Total international arrivals","","1/1/2012 12:00:00 AM",37715
"United Kingdom","Total international arrivals","","1/1/2004 12:00:00 AM",27755
"United Kingdom","Total international arrivals","","1/1/2005 12:00:00 AM",29970
"United Kingdom","Total international arrivals","","1/1/2006 12:00:00 AM",32713
"United Kingdom","Total international arrivals","","1/1/2007 12:00:00 AM",32778
"United Kingdom","Total international arrivals","","1/1/2008 12:00:00 AM",31888
"United Kingdom","Total international arrivals","","1/1/2009 12:00:00 AM",29889
"United Kingdom","Total international arrivals","","1/1/2010 12:00:00 AM",29803
"United Kingdom","Total international arrivals","","1/1/2011 12:00:00 AM",30798
"United Kingdom","Total international arrivals","","1/1/2012 12:00:00 AM",31084
"United States","Total international arrivals","","1/1/2006 12:00:00 AM",183178
"United States","Total international arrivals","","1/1/2007 12:00:00 AM",175142
"United States","Total international arrivals","","1/1/2008 12:00:00 AM",175632
"United States","Total international arrivals","","1/1/2009 12:00:00 AM",160359
"United States","Total international arrivals","","1/1/2010 12:00:00 AM",162269
"United States","Total international arrivals","","1/1/2011 12:00:00 AM",164672
"United States","Total international arrivals","","1/1/2012 12:00:00 AM",171630
"Bulgaria","Total international arrivals","","1/1/2006 12:00:00 AM",7499
"Bulgaria","Total international arrivals","","1/1/2007 12:00:00 AM",7726
"Bulgaria","Total international arrivals","","1/1/2008 12:00:00 AM",8533
"Bulgaria","Total international arrivals","","1/1/2009 12:00:00 AM",7873
"Bulgaria","Total international arrivals","","1/1/2010 12:00:00 AM",8374
"Bulgaria","Total international arrivals","","1/1/2011 12:00:00 AM",8713
"Bulgaria","Total international arrivals","","1/1/2012 12:00:00 AM",8867
"China","Total international arrivals","","1/1/2007 12:00:00 AM",131873
"China","Total international arrivals","","1/1/2008 12:00:00 AM",130027
"China","Total international arrivals","","1/1/2009 12:00:00 AM",126476
"China","Total international arrivals","","1/1/2010 12:00:00 AM",133761
"China","Total international arrivals","","1/1/2011 12:00:00 AM",135424
"China","Total international arrivals","","1/1/2012 12:00:00 AM",132405
"Egypt","Total international arrivals","","1/1/2006 12:00:00 AM",8640
"Egypt","Total international arrivals","","1/1/2007 12:00:00 AM",11100
"Egypt","Total international arrivals","","1/1/2008 12:00:00 AM",12800
"Egypt","Total international arrivals","","1/1/2009 12:00:00 AM",12500
"Egypt","Total international arrivals","","1/1/2010 12:00:00 AM",14700
"Egypt","Total international arrivals","","1/1/2011 12:00:00 AM",9800
"Egypt","Total international arrivals","","1/1/2012 12:00:00 AM",11500
"Indonesia","Total international arrivals","","1/1/2006 12:00:00 AM",4871
"Indonesia","Total international arrivals","","1/1/2007 12:00:00 AM",5506
"Indonesia","Total international arrivals","","1/1/2008 12:00:00 AM",6234
"Indonesia","Total international arrivals","","1/1/2009 12:00:00 AM",6324
"Indonesia","Total international arrivals","","1/1/2010 12:00:00 AM",7003
"Indonesia","Total international arrivals","","1/1/2011 12:00:00 AM",7650
"Indonesia","Total international arrivals","","1/1/2012 12:00:00 AM",8044
"Latvia","Total international arrivals","","1/1/2006 12:00:00 AM",4645
"Latvia","Total international arrivals","","1/1/2007 12:00:00 AM",5236
"Latvia","Total international arrivals","","1/1/2008 12:00:00 AM",5496
"Latvia","Total international arrivals","","1/1/2009 12:00:00 AM",4727
"Latvia","Total international arrivals","","1/1/2010 12:00:00 AM",5042
"Latvia","Total international arrivals","","1/1/2011 12:00:00 AM",5538
"Latvia","Total international arrivals","","1/1/2012 12:00:00 AM",5569
"Lithuania","Total international arrivals","","1/1/2007 12:00:00 AM",4214
"Lithuania","Total international arrivals","","1/1/2008 12:00:00 AM",4459
"Lithuania","Total international arrivals","","1/1/2009 12:00:00 AM",4001
"Lithuania","Total international arrivals","","1/1/2010 12:00:00 AM",4073
"Lithuania","Total international arrivals","","1/1/2011 12:00:00 AM",4504
"Lithuania","Total international arrivals","","1/1/2012 12:00:00 AM",4978
"Malta","Total international arrivals","","1/1/2006 12:00:00 AM",1124
"Malta","Total international arrivals","","1/1/2007 12:00:00 AM",1244
"Malta","Total international arrivals","","1/1/2008 12:00:00 AM",1291
"Malta","Total international arrivals","","1/1/2009 12:00:00 AM",1183
"Malta","Total international arrivals","","1/1/2010 12:00:00 AM",1339
"Malta","Total international arrivals","","1/1/2011 12:00:00 AM",1415
"Malta","Total international arrivals","","1/1/2012 12:00:00 AM",1444
"Romania","Total international arrivals","","1/1/2004 12:00:00 AM",6600
